Show,Cancelled
2 Broke Girls,1
24,0
30 Rock,0
3rd Rock from the Sun,0
9-1-1: Lone Star,2
9/1/2001,2
A Different World,0
A Million Little Things,0
Abbott Elementary,2
Adventure Time,0
Ally McBeal,0
Archer,0
Arrested Development (control for revival),1
Arrow,0
Atlanta,0
Barry,0
Becker,0
Better Call Saul,0
Better Things,0
Big Love,0
Big Sky,1
Black-ish,0
Blindspot,0
Blue Bloods,0
Boardwalk Empire,0
Body of Proof,1
Bones,0
Boston Legal,0
Breaking Bad,0
Broad City,0
Brothers & Sisters,1
Buffy the Vampire Slayer,0
Bull,0
CSI: Crime Scene Investigation,0
CSI: Miami,1
CSI: NY,1
Castle,1
Cheers,0
Chicago Fire,2
Chicago Med,2
Chicago P.D.,2
Coach,0
Code Black,0
Cold Case,1
Community,0
Cosby,0
Criminal Minds,0
Crossing Jordan,1
Cybill,1
Damages,0
Deadwood,1
Designated Survivor,1
Designing Women,1
Desperate Housewives,0
Dexter,0
Dharma & Greg,1
Diagnosis: Murder,0
"Doogie Howser, M.D.",1
"Dr. Quinn, Medicine Woman",1
ER,0
Elementary,0
Empire,0
Empty Nest,0
Entourage,0
Euphoria,2
Everybody Loves Raymond,0
FBI,2
FBI: International,2
FBI: Most Wanted,0
Family Guy,2
Family Matters,0
Family Ties,0
Fargo,2
Fire Country,2
Frasier,0
Friday Night Lights,0
Friends,0
Full House,1
Futurama,1
Game of Thrones,0
Ghost Whisperer,1
Ghosts,2
Gilmore Girls,0
Girls,0
Glee,0
God Friended Me,0
Gravity Falls,0
Grey's Anatomy,2
Growing Pains,0
Hannibal,0
Hawaii Five-0,0
Heroes,1
Home Improvement,0
Homeland,0
House,0
How I Met Your Mother,0
How To with John Wilson,0
How to Get Away with Murder,0
In Living Color,1
In the Heat of the Night,0
Insecure,0
Instinct,1
It's Always Sunny in Philadelphia,2
JAG,1
Just Shoot Me!,1
Justified,0
Key & Peele,0
King of the Hill,1
L.A. Law,0
Las Vegas,1
Last Week Tonight with John Oliver,2
Law & Order,1
Law & Order: Organized Crime,0
Life,1
Life in Pieces,1
Living Single,1
Lost,0
Louie (maybe drop?),1
MacGyver,1
Mad About You,0
Mad Men,0
Madam Secretary,0
Malcolm in the Middle,0
Manifest,0
Married... with Children,1
Matlock,0
Medium,0
Mike & Molly,0
Modern Family,0
Mom,0
Moonlighting,1
Mr. Robot,0
"Murder, She Wrote",0
Murphy Brown ,0
NCIS,2
NCIS: Hawai?i,1
NCIS: Los Angeles,0
NCIS: New Orleans,1
NYPD Blue,0
Nathan for You,0
New Amsterdam,0
Northern Exposure,1
Numbers,1
Nurse Jackie,0
Once Upon a Time,0
Oz,0
Parenthood,0
Parks and Recreation,0
Person of Interest,0
Portlandia,0
Pose,0
Primal,2
Private Practice,0
Quantum Leap,1
Regular Show,0
Resurrection,1
Rick and Morty,2
Rome,1
Roseanne,1
Rules of Engagement,0
S.W.A.T.,2
SEAL Team,0
Samantha Who?,1
Scandal,0
Schitt's Creek,0
Scorpion,1
Scrubs,0
Seinfeld,0
Sex and the City,0
Shades of Blue,0
Shameless,0
Shark,1
Silicon Valley,0
Six Feet Under,0
So Help Me Todd,1
Sons of Anarchy,0
South Park,2
Southland,1
Spin City,0
Station 19,0
Succession,0
The Amazing Race,2
The Americans,0
The Big Bang Theory,0
The Blacklist,0
The Bridge,0
The Comeback,0
The Conners,2
The Cosby Show,0
The Drew Carey Show,0
The Eric Andre Show,2
The Flintstones,1
The Following,1
The Fresh Prince of Bel-Air,0
The Golden Girls,0
The Good Doctor,0
The Good Place,0
The Good Wife,0
The King of Queens,0
The Leftovers,0
The Mentalist,0
The Nanny,0
The Neighborhood,2
The New Adventures of Old Christine,1
The Newsroom,0
The Office,0
The Practice,0
The Rookie,2
The Shield,0
The Sopranos,0
The Unit,1
The Walking Dead,0
The West Wing,0
The White Lotus,2
The Wire,0
The Wonder Years,0
The X-Files,0
Thirtysomething,0
This Is Us,0
Touched by an Angel,0
True Blood,0
True Detective,0
Twin Peaks,0
Two and a Half Men,0
Ugly Betty,0
Veep,0
"Walker, Texas Ranger",0
Weeds,0
What We Do in the Shadows,2
Without a Trace,0
Yellowjackets,2
Yellowstone,2
Young Sheldon,0
