Show,Executive producers,Genre,Network,No.of episodes,No.of seasons,Starring,Year
2 Broke Girls,Michael Patrick King | Whitney Cummings | Michelle Nader | Liz Astrof,Sitcom,CBS,138,6,Kat Dennings | Beth Behrs | Garrett Morris | Jonathan Kite | Matthew Moy | Jennifer Coolidge,2011
24,Joel Surnow | Robert Cochran | Brian Grazer | Howard Gordon | Evan Katz | Kiefer Sutherland | Jon Cassar | Manny Coto | David Fury | Brad Turner | Brannon Braga | Alex Gansa | Chip Johannessen | Tony Krantz,Serial drama | Crime thriller | Espionage | Action,Fox,192 + 24: Redemption + 12 (24: Live Another Day),9,Kiefer Sutherland | (and | others | ),2001
30 Rock,Lorne Michaels | Tina Fey | Marci Klein | David Miner | JoAnn Alfano | Robert Carlock | Jeff Richmond | John Riggi | Jack Burditt,Sitcom | Satire | Farce,NBC,139,7,Tina Fey | Tracy Morgan | Jane Krakowski | Jack McBrayer | Scott Adsit | Judah Friedlander | Alec Baldwin | Katrina Bowden | Keith Powell | Lonny Ross | Kevin Brown | Grizz Chapman | Maulik Pancholy | John Lutz,2006
3rd Rock from the Sun,John Lithgow | Bonnie Turner | Terry Turner | Marcy Carsey | Tom Werner | Caryn Mandabach | Linwood Boomer | (season 1) | Bill Martin | fr | ] | Mike Schiff (seasons 4–5) | David Sacks | (seasons 4–5) | Bob Kushell | Christine Zander | (seasons 5–6) | David Goetsch | Jason Venokur (season 6),Sitcom | Science fiction,NBC,139,6,John Lithgow | Kristen Johnston | French Stewart | Joseph Gordon-Levitt | Jane Curtin | Simbi Khali | Elmarie Wendel | Wayne Knight,1996
9/1/2001,Ryan Murphy | Brad Falchuk | Tim Minear | Juan Carlos Coto | Kristen Reidel | Lyndsey Beaulieu | Alexis Martin Woodall | John J. Gray | Bradley Buecker | Peter Krause | Angela Bassett,Procedural drama,Fox | ABC,96,6,Angela Bassett | Peter Krause | Oliver Stark | Aisha Hinds | Kenneth Choi | Rockmond Dunbar | Connie Britton | Jennifer Love Hewitt | Ryan Guzman | Corinne Massiah | Marcanthonee Jon Reis | Gavin McHugh | John Harlan Kim,2018
9-1-1: Lone Star,Ryan Murphy | Brad Falchuk | Tim Minear | Rob Lowe | Angela Bassett | Bradley Buecker | John J. Gray | Rashad Raisani | Alexis Martin Woodall | Trey Callaway,Procedural drama | Action,Fox,60,4,Rob Lowe | Liv Tyler | Ronen Rubinstein | Sierra McClain | Jim Parrack | Natacha Karam | Brian Michael Smith | Rafael L. Silva | Julian Works | Gina Torres | Brianna Baker | Kelsey Yates | Skyler Yates,2020
A Different World,Marcy Carsey | Tom Werner | Caryn Mandabach | Susan Fales,Sitcom,NBC,144,6,Lisa Bonet | Marisa Tomei | Dawnn Lewis | Jasmine Guy | Kadeem Hardison | Mary Alice | Loretta Devine | Darryl M. Bell | Sinbad | Charnele Brown | Cree Summer | Glynn Turman | Lou Myers | Ajai Sanders | Jada Pinkett Smith | Karen Malina White,1987
A Million Little Things,DJ Nash | Aaron Kaplan | Dana Honor | James Griffiths | Marshall Boone | David Marshall Grant | Terrence Coli | Brian Morewitz,Family drama | Serial drama,ABC,87,5,David Giuntoli | Romany Malco | Allison Miller | Christina Moses | Grace Park | James Roday Rodriguez | Stéphanie Szostak | Tristan Byon | Lizzy Greene | Chance Hurstfield | Floriana Lima,2018
Abbott Elementary,Randall Einhorn | Justin Halpern | Patrick Schumacker | Quinta Brunson,Mockumentary | Workplace comedy,ABC,35,2,Quinta Brunson | Tyler James Williams | Janelle James | Lisa Ann Walter | Chris Perfetti | Sheryl Lee Ralph | William Stanford Davis,2021
Adventure Time,Fred Seibert | Derek Drymon | (season 1) | Curtis Lelash | Jennifer Pelphrey | Brian A. Miller | Rob Sorcher | Pendleton Ward (seasons 3–10) | Adam Muto | (seasons 7–10),Science fantasy | Adventure | Surreal comedy | Coming of age,Cartoon Network,283,10,,2010
